event_id,event_name,spread,price,status,marketUrl,time_since_start
31903329,Arizona State v USC,-3.5,1.95,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,57.54
31903329,Arizona State v USC,-3.5,1.95,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,58.04
31903329,Arizona State v USC,-3.0,1.879,SELECTION_ENABLED,basketball.handicap/away?handicap=3,59.04
31903329,Arizona State v USC,-3.5,1.929,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,59.54
31903329,Arizona State v USC,-3.5,1.929,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,60.54
31903329,Arizona State v USC,-3.5,1.929,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,61.05
31903329,Arizona State v USC,-3.5,1.929,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,62.04
31903329,Arizona State v USC,-3.5,1.929,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,62.55
31903329,Arizona State v USC,-3.5,1.929,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,63.05
31903329,Arizona State v USC,-3.5,1.929,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,67.35
31903329,Arizona State v USC,-3.5,1.929,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,67.88
31903329,Arizona State v USC,-3.5,1.929,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,68.38
31903329,Arizona State v USC,-3.5,1.929,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,68.88
31903329,Arizona State v USC,-3.5,1.929,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,69.88
31903329,Arizona State v USC,-3.5,1.929,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,70.88
31903329,Arizona State v USC,-3.5,1.929,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,71.38
31903329,Arizona State v USC,-3.5,1.929,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,71.89
31903329,Arizona State v USC,-3.5,1.929,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,72.99
31903329,Arizona State v USC,-3.5,1.821,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,73.99
31903329,Arizona State v USC,-3.5,1.828,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,74.99
31903329,Arizona State v USC,-3.5,1.835,SELECTION_ENABLED,basketball.handicap/away?handicap=3.5,75.99
31903329,Arizona State v USC,-5.0,1.872,SELECTION_ENABLED,basketball.handicap/away?handicap=5,76.99
31903329,Arizona State v USC,-5.5,1.857,SELECTION_ENABLED,basketball.handicap/away?handicap=5.5,77.89
31903329,Arizona State v USC,-4.5,1.887,SELECTION_ENABLED,basketball.handicap/away?handicap=4.5,78.99
31903329,Arizona State v USC,-4.5,1.85,SELECTION_ENABLED,basketball.handicap/away?handicap=4.5,79.99
31903329,Arizona State v USC,-5.5,1.828,SELECTION_ENABLED,basketball.handicap/away?handicap=5.5,80.99
31903329,Arizona State v USC,-7.5,1.904,SELECTION_ENABLED,basketball.handicap/away?handicap=7.5,81.99
31903329,Arizona State v USC,-8.0,1.864,SELECTION_ENABLED,basketball.handicap/away?handicap=8,82.99
31903329,Arizona State v USC,-7.5,1.929,SELECTION_ENABLED,basketball.handicap/away?handicap=7.5,83.99
31903329,Arizona State v USC,-7.5,1.92,SELECTION_ENABLED,basketball.handicap/away?handicap=7.5,84.99
31903329,Arizona State v USC,-7.5,1.92,SELECTION_ENABLED,basketball.handicap/away?handicap=7.5,85.99
31903329,Arizona State v USC,-5.5,1.835,SELECTION_ENABLED,basketball.handicap/away?handicap=5.5,86.88
31903329,Arizona State v USC,-6.0,1.842,SELECTION_ENABLED,basketball.handicap/away?handicap=6,87.88
31903329,Arizona State v USC,-5.0,1.895,SELECTION_ENABLED,basketball.handicap/away?handicap=5,88.88
31903329,Arizona State v USC,-5.5,1.887,SELECTION_ENABLED,basketball.handicap/away?handicap=5.5,89.38
31903329,Arizona State v USC,-5.0,1.895,SELECTION_ENABLED,basketball.handicap/away?handicap=5,90.38
31903329,Arizona State v USC,-5.0,1.895,SELECTION_ENABLED,basketball.handicap/away?handicap=5,90.88
31903329,Arizona State v USC,-5.0,1.821,SELECTION_ENABLED,basketball.handicap/away?handicap=5,91.38
31903329,Arizona State v USC,-5.5,1.904,SELECTION_ENABLED,basketball.handicap/away?handicap=5.5,92.38
31903329,Arizona State v USC,-6.5,1.904,SELECTION_ENABLED,basketball.handicap/away?handicap=6.5,92.88
31903329,Arizona State v USC,-6.0,1.887,SELECTION_ENABLED,basketball.handicap/away?handicap=6,93.89
31903329,Arizona State v USC,-6.0,1.879,SELECTION_ENABLED,basketball.handicap/away?handicap=6,94.99
31903329,Arizona State v USC,-6.0,1.879,SELECTION_ENABLED,basketball.handicap/away?handicap=6,95.52
31903329,Arizona State v USC,-6.0,1.887,SELECTION_ENABLED,basketball.handicap/away?handicap=6,96.38
31903329,Arizona State v USC,-6.0,1.887,SELECTION_ENABLED,basketball.handicap/away?handicap=6,96.89
31903329,Arizona State v USC,-5.5,1.887,SELECTION_ENABLED,basketball.handicap/away?handicap=5.5,97.39
31903329,Arizona State v USC,-5.0,1.835,SELECTION_ENABLED,basketball.handicap/away?handicap=5,97.99
